lrp,name,total delay
LRP008a,Kachpur bridge,19749.0
LRP011a,NOYAPARA CULVERT,20318.0
LRP011b,NAYABARI KASPUR BOX CULVERT,0.0
LRP012a,NAYABARI BOX CULVERT,0.0
LRP013a,MADAN PUR (R),51131.0
LRP016b,Langalbandhu bridge,0.0
LRP017a,Bridge start,20174.0
LRP017c,LANGOLBANDO PC GIDER BRIDGE,90758.0
LRP018a,DARIKANDI BRIDGE (R),50362.0
LRP020b,SHADIPUR BOX CULVERT,50187.0
LRP022a,Bridge start,20263.0
LRP022c,Bridge start,20428.0
LRP028a,Bridge end,20418.0
LRP029a,Anarpara Bridge (R),51944.0
LRP030a,Bridge start,20485.0
LRP030c,Bridge start,20406.0
LRP031b,Bhaber char Bridge(R),0.0
LRP033a,NOYAPARA,0.0
LRP035a,Bridge start,20659.0
LRP038d,Bridge start,20466.0
LRP042a,Bridge start,20535.0
LRP048a,Bridge start,20326.0
LRP050a,Bridge start,20740.0
LRP056a,Bridge start,0.0
LRP072a,Bridge start,0.0
LRP084b,TIPRA BAZAR BOX CULVERT,0.0
LRP089a,Bridge start,20844.0
LRP093a,Bridge start,20914.0
LRP095a,Bridge start,20715.0
LRP099a,Bridge start,20878.0
LRP102a,Bridge start,21025.0
LRP105a,Bridge start,21041.0
LRP108a,Bridge start,20944.0
LRP110a,Bridge start,20636.0
LRP111a,Bridge start,0.0
LRP113a,Bridge start,21028.0
LRP119b,Bridge start,20995.0
LRP126a,BOSONTA PUR BOX CULVERT,21127.0
LRP128a,Bridge start,21363.0
LRP131a,DIMATOLY (2) BOX CULVERT,21084.0
LRP134a,FOKIR BAZAR SLAB CULVERT,0.0
LRP139b,UTTOR KAIEATI CULVERT,0.0
LRP151a,Bridge start,0.0
LRP156a,LAMUA BRIDGE,0.0
LRP163a,Bridge start,21391.0
LRP168a,DHOOM GHAT PC GIRDER,183076.0
LRP173a,CHAIRMEN BARI BOX CULVERT,0.0
LRP173b,MADDAM SONAPAR(1) BOX CULVERT,21252.0
LRP174a,DHARBAR TILA CULVERT,21252.0
LRP174b,MADDUM SONAPHAR-3,21401.0
LRP175a,MAMAFOUN ASTANA CULVERT,0.0
LRP175b,MAMAFAKIR ASTANA SLAB CULVERT,21243.0
LRP176a,MASTANNAGOR BONCUL(1),0.0
LRP176c,MUSTAU NOGAR(2),21256.0
LRP176d,MASTARI HAGOR 3 CULVERT,21138.0
LRP178a,PURPU DURGAPURE BOX CUL,53214.0
LRP187a,VARTAKA BOX CULVERT,0.0
LRP197a,TARAT BOX CULVERT,21640.0
LRP200a,RONA SORA CULVERT,21608.0
LRP203b,UTTOR SITAKONDO BAZAR BOX CULVERT,21433.0
LRP204c,Bridge start,21516.0
LRP204f,MOHADAB PUR BOX CULVERT,0.0
LRP207d,HATILOTA BOX CULVERT,0.0
LRP209a,Bridge start,21423.0
LRP210a,Bridge start,0.0
LRP211a,R. R TEXTAIL BOX CULVERT,21480.0
LRP211b,Bridge start,0.0
LRP213a,Bridge start,21614.0
LRP216a,Bridge start,21609.0
LRP217a,Bridge start,21584.0
LRP217d,Bridge start,21532.0
LRP218a,Bridge start,21706.0
LRP218c,Bridge start,0.0
LRP219a,Bridge start,21408.0
LRP221b,Bridge start,0.0
LRP224a,Bridge start,0.0
LRP226a,Bridge start,0.0
LRP227b,Bridge start,0.0
LRP229a,Bridge start,21497.0
LRP231b,Bridge start,21542.0
LRP232c,Bridge start,21677.0
LRP234a,Bridge start,0.0
